index,altitude,masl,biotype,Portiera,Arsenophonus_2,Hamiltonella,Cardinium_2,Hemipteriphilus,Ricketssia,Wolbachia
EC102,Low,90,Native,12473,0,3448,0,0,5115,0
EC107,Low,65,Invasive,15256,0,5448,0,0,2802,0
EC118,Low,36,Native,17605,6709,0,1150,4,0,1129
EC191,Low,22,Invasive,18105,0,8807,0,0,1284,0
EC2,Low,75,Native,33427,0,213,0,0,0,4128
EC23,High,467,Native,14053,3358,0,680,0,0,2938
EC24,High,467,Native,17137,4772,0,1385,0,0,7351
EC32,Medium,217,Native,11613,697,2,2266,0,0,3485
EC43,Low,37,Native,24118,0,4275,0,0,2481,0
EC6,Low,29,Native,15742,0,10,0,0,0,210
EC70,Low,69,Invasive,14326,0,7647,0,0,330,0
EC76,Medium,126,Invasive,18767,0,6910,0,0,253,0
EC86,Medium,277,Native,26414,417,9,1129,0,0,250
EC99,Low,22,Invasive,23499,0,10280,0,0,4022,0
BO9,High,NA,Native,18996,2552,0,284,0,0,360
IR8,Low,NA,Invasive,5102,0,4270,0,0,13127,0
IS16,Low,NA,Invasive,9724,0,6335,0,0,1872,0
